id;Planta;Ascensor;EXT-INT
108106290;1; Si;Exterior
107716081;1; Si;Exterior
104690486;1; Si;Exterior
108285619;1; Si;Exterior
107811660;1; Si;Exterior
107965701;1; Si;Exterior
107443523;1; Si;Exterior
108441411;1; Si;Exterior
107564269;1; Si;Exterior
108545219;1; Si;Exterior
107613172;1; Si;Exterior
108583172;1; Si;Exterior
107206553;1; Si;Exterior
108494932;1; Si;Interior
107376775;1; Si;Exterior
107104342;1; Si;Exterior
108106251;1; Si;Exterior
108172013;1; Si;Exterior
107078738;1; Si;Exterior
108600109;1; Si;Interior
104706169;1; Si;Exterior
107455104;1; Si;Exterior
107715812;1; Si;Exterior
108077355;1; Si;Exterior
108332093;1; Si;Interior
107789087;1; Si;Exterior
107724247;1; Si;Exterior
108540775;1; Si;Exterior
107232586;1; Si;Exterior
104840271;1; Si;Exterior
103457372;1; Si;Exterior
108473823;1; Si;Exterior
102762813;1; Si;Exterior
106516696;1; Si;Exterior
105208773;1; Si;Exterior
107812026;1; No;Interior
107582127;1; Si;Exterior
104635587;1; Si;Exterior
104314636;1; Si;Exterior
108530637;1; No;Exterior
107989045;1; Si;Exterior
108088242;1; Si;Exterior
108214829;1; Si;Exterior
108339616;1; Si;Exterior
108283192;1; Si;Exterior
108285538;1; Si;Interior
108145183;1; Si;Interior
108504030;1; Si;Exterior
108413248;1; Si;Exterior
86308196;1; Si;Exterior
105457214;1; Si;Exterior
85987623;1; Si;Exterior
105457544;1; Si;Exterior
102516774;1; Si;Exterior
103462161;1; Si;Interior
103568733;1; Si;Exterior
105156934;1; Si;Interior
103350052;1; Si;Exterior
105074696;1; Si;Exterior
105047236;1; Si;Exterior
107811631;1; Si;Exterior
102189591;1; Si;Exterior
107555781;1; Si;Exterior
108588703;1; Si;Exterior
103824766;1; Si;Exterior
106919475;1; Si;Exterior
107446067;1; Si;Exterior
108628766;1; No;Interior
107491753;1; Si;Exterior
107491782;1; Si;Exterior
107491783;1; Si;Exterior
108634947;1; Si;Exterior
104499220;1; Si;Exterior
104499278;1; Si;Exterior
108220727;1; Si;Exterior
108428982;1; Si;Exterior
108428789;1; Si;Exterior
108428952;1; Si;Exterior
108001697;1; Si;Interior
105421325;1; Si;Exterior
106212648;1; Si;Interior
108583146;1; Si;Exterior
108505494;1; Si;Exterior
106220635;1; Si;Exterior
108213827;1; Si;Exterior
106638898;1; Si;Exterior
107810654;1; Si;Interior
106960817;1; Si;Exterior
108591554;1; Si;Interior
108272941;1; Si;Exterior
108396449;1; Si;Exterior
103788887;1; Si;Exterior
107009439;1; Si;Exterior
108588605;1; Si;Exterior
103841985;1; Si;Exterior
104947532;1; Si;Exterior
104620663;1; Si;Exterior
104480557;1; Si;Exterior
104061270;1; Si;Exterior
105304851;1; Si;Interior
107969212;1; Si;Exterior
108122995;1; Si;Exterior
105974793;1; Si;Exterior
101610312;1; Si;Exterior
108562994;1; No;Exterior
107764549;1; Si;Exterior
108474654;1; No;Exterior
108123635;1; No;Exterior
106828063;1; Si;Exterior
104510918;1; Si;Exterior
102172047;1; Si;Exterior
108074969;1; Si;Interior
108362104;1; Si;Exterior
103323202;1; Si;Exterior
108425750;1; Si;Exterior
108615479;1; Si;Exterior
108306959;1; Si;Exterior
103321375;1; Si;Exterior
103619602;1; Si;Interior
108595102;1; Si;Interior
107920203;1; Si;Exterior
108563992;1; Si;Exterior
106703749;1; Si;Exterior
108012108;1; Si;Exterior
104882606;1; Si;Exterior
107800224;1; No;Interior
108395514;1; Si;Interior
108427526;1; Si;Exterior
108152365;1; Si;Exterior
108519245;1; Si;Exterior
107210350;1; Si;Exterior
108592281;1; No;Exterior
108696188;1; Si;Exterior
108410796;1; Si;Exterior
107798801;1; No;Exterior
107528907;1; No;Exterior
95413837;1; Si;Exterior
107920410;1; Si;Interior
108475335;1; Si;Exterior
108567940;1; Si;Exterior
108420738;1; No;Exterior
107724388;1; Si;Exterior
107190803;1; No;Interior
94554915;1; No;Exterior
108120114;1; Si;Exterior
108093083;1; No;Exterior
108325063;1; Si;Exterior
101359740;1; Si;Exterior
108425877;1; No;Exterior
103243223;1; Si;Interior
107915549;1; Si;Exterior
108162480;1; Si;Exterior
108384358;1; Si;Exterior
108407978;1; No;Exterior
107075344;1; No;Exterior
99044962;1; Si;Exterior
108592250;1; Si;Exterior
106027320;1; No;Exterior
108478451;1; Si;Interior
108137311;1; Si;Exterior
108625695;1; Si;Exterior
108580185;1; No;Exterior
108529098;1; Si;Exterior
108531341;1; No;Interior
108361063;1; Si;Exterior
99283225;1; No;Exterior
108352902;1; No;Exterior
108703500;1; Si;Exterior
108699625;1; Si;Interior
108475367;1; Si;Exterior
104857677;1; Si;Exterior
105291752;1; Si;Exterior
108459763;1; No;Exterior
108433260;1; Si;Exterior
108391983;1; Si;Exterior
108392101;1; Si;Exterior
108460360;1; Si;Exterior
108466678;1; Si;Exterior
106908853;1; Si;Exterior
106908844;1; Si;Exterior
108235867;1; Si;Interior
108553746;1; No;Interior
108446186;1; No;Exterior
108396373;1; Si;Exterior
108396418;1; Si;Exterior
108261939;1; Si;Exterior
108262385;1; Si;Exterior
108650744;1; No;Exterior
108643668;1; Si;Interior
108505338;1; Si;Exterior
108588309;1; Si;Exterior
108573699;1; Si;Exterior
107234327;1; Si;Exterior
107693761;1; No;Exterior
107990411;1; No;Exterior
108508936;1; Si;Exterior
107780889;1; Si;Interior
106976705;1; No;Exterior
107330610;1; No;Exterior
108292024;1; Si;Exterior
108428428;1; Si;Exterior
107169930;1; Si;Exterior
108463335;1; Si;Exterior
101808883;1; No;Exterior
108104674;1; Si;Exterior
108265244;1; No;Exterior
108365310;1; No;Exterior
108439177;1; No;Exterior
108641367;1; Si;Exterior
108093981;1; No;Exterior
108557836;1; No;Interior
108557769;1; No;Exterior
106774011;1; No;Exterior
108466548;1; No;Interior
108380031;1; Si;Exterior
108380681;1; Si;Exterior
107702040;1; No;Interior
108573913;1; Si;Exterior
108669836;1; Si;Exterior
107000514;1; No;Exterior
108585864;1; No;Exterior
108568756;1; Si;Exterior
107658068;1; Si;Exterior
106842270;1; Si;Exterior
108421556;1; No;Exterior
108594511;1; No;Interior
108031597;1; No;Exterior
107510457;1; Si;Exterior
108546024;1; No;Exterior
107841502;1; No;Exterior
108230500;1; No;Exterior
104903884;1; Si;Interior
104097447;1; Si;Exterior
108495757;1; Si;Exterior
108248444;1; Si;Exterior
108596289;1; No;Exterior
108193634;1; No;Exterior
108037563;1; No;Interior
103936151;1; Si;Exterior
101781819;1;;
108668466;1; Si;Exterior
108668827;1; No;Interior
37741604;1; Si;Interior
108458833;1; Si;Exterior
107529938;1; No;Exterior
105937936;1; Si;Exterior
108391916;1; Si;Interior
108377655;1; No;Interior
107651901;1; Si;Exterior
107969640;1; No;Exterior
106888597;1; Si;Exterior
108470617;1; No;Exterior
107392132;1; Si;Exterior
108466385;1; Si;Interior
108014725;1; Si;Exterior
107946499;1; No;Exterior
108449922;1; Si;Exterior
108645289;1; No;Exterior
107377320;1; Si;Exterior
108530631;1; No;Exterior
108259420;1; Si;Exterior
108657007;1; Si;Exterior
108348679;1; No;Exterior
107869287;1; No;Exterior
108602164;1; No;Exterior
107998125;1; No;Exterior
108405100;1; Si;Exterior
108405147;1; Si;Exterior
108405108;1; Si;Exterior
107170359;1; Si;Exterior
107170447;1; Si;Exterior
107170405;1; Si;Exterior
108636355;1; No;Exterior
108392069;1; No;Exterior
108595590;1; Si;Exterior
108482570;1; Si;Exterior
108547135;1; No;Interior
108119978;1; Si;Exterior
107593688;1; Si;Exterior
108370813;1; No;Exterior
108510543;1; No;Exterior
107776141;1; Si;Exterior
108433231;1; Si;Exterior
107917274;1; Si;Exterior
1745623;1; Si;Exterior
105099637;1; No;Exterior
108643339;1; No;Exterior
95396798;1; Si;Exterior
1751560;1; Si;Exterior
107218355;1; No;Interior
108600855;1; Si;Exterior
105743769;1; Si;Exterior
108241534;1; Si;Exterior
108505768;1; Si;Exterior
108453772;1; Si;Exterior
726518;1; Si;Exterior
107779350;1; Si;Exterior
108560829;1; Si;Exterior
107401401;1; Si;Exterior
108520015;1; Si;Exterior
108292859;1; Si;Interior
108232640;1; Si;Exterior
108017840;1; No;Exterior
107825611;1; No;Exterior
107691253;1; No;Exterior
108518447;1; Si;Exterior
108683492;1; Si;Exterior
107650930;1; Si;Exterior
102898687;1; No;Exterior
108176515;1; Si;Exterior
107071754;1; No;Exterior
106746747;1; Si;Exterior
108519759;1; Si;Exterior
108294948;1; Si;Exterior
108703273;1; Si;Exterior
108494874;1; Si;Exterior
108580944;1; Si;Exterior
108242936;1; Si;Exterior
108340379;1; Si;Exterior
107803508;1; No;Exterior
108693302;1; Si;Exterior
108444914;1; Si;Exterior
108499798;1; No;Exterior
108189324;1; Si;Exterior
108162797;1; Si;Exterior
108448615;1; Si;Exterior
107865215;1; Si;Exterior
108643464;1; No;Exterior
108543129;1; No;Exterior
107324028;1; Si;Exterior
101985913;1; No;
108353397;1; Si;Interior
108682666;1; Si;Interior
107604578;1; No;Exterior
107813398;1; No;Exterior
108339522;1; Si;Exterior
108365798;1; No;Exterior
107566035;1; No;Interior
108261961;1; No;Exterior
108533092;1; No;Exterior
108408364;1; No;Exterior
104128656;1; Si;Exterior
108260603;1; Si;Exterior
108585140;1; Si;Exterior
107970737;1; Si;Exterior
108048125;1; Si;Exterior
108696450;1; Si;Exterior
108238618;1; Si;Exterior
108238643;1; Si;Exterior
108238667;1; Si;Exterior
108238664;1; Si;Exterior
108238676;1; Si;Exterior
